2theta,intensity
10.05106348192835,425.42893838638105
10.101040952645407,439.44228777295456
10.151018451797265,424.77985121461467
10.200995979383618,450.42195932302235
10.250973535404164,437.51586776020105
10.300951119858592,452.11555571128105
10.350928732746597,463.9823575064297
10.40090637406787,449.460925411287
10.450884043822098,438.1303787335062
10.50086174200897,413.2994662734016
10.550839468628169,438.5624716559414
10.600817223679384,432.19117294621753
10.650795007162294,453.2449649524068
10.700772819076581,421.9350808420804
10.750750659421925,427.11086503431676
10.800728528198007,418.438946084803
10.850706425404503,419.99893867763234
10.900684351041086,438.2355860640778
10.950662305107432,456.93453628906605
11.000640287603215,473.85863841820856
11.050618298528104,439.8276048358702
11.100596337881766,426.3695821302982
11.150574405663875,423.04837895286767
11.200552501874096,428.03640810253836
11.250530626512091,439.9630761470543
11.300508779577525,458.87297137493965
11.350486961070061,396.6550298222588
11.40046517098936,435.9366875060419
11.450443409335083,430.88593743922826
11.500421676106882,459.7893212993246
11.550399971304415,445.08318893693166
11.600378294927342,446.7592169369959
11.650356646975313,433.456889556284
11.700335027447977,448.5024292367304
11.750313436344987,427.3633205225968
11.800291873665993,409.7910671523775
11.850270339410644,441.23307702669734
11.900248833578578,445.04170100862285
11.950227356169446,463.6792040139883
12.00020590718289,450.23384472632995
12.05018448661855,447.3922011035041
12.100163094476065,447.3502500114456
12.150141730755076,439.66917794615193
12.200120395455219,424.79221851477746
12.25009908857613,506.65788814010256
12.300077810117442,455.5118236578649
12.350056560078789,452.15997648587506
12.400035338459801,424.91179672178026
12.45001414526011,430.89345372771317
12.499992980479337,431.74854502802026
12.549971844117113,422.5665903816066
12.599950736173067,437.2546711873328
12.64992965664682,443.8610667331609
12.699908605537992,452.6203868166912
12.749887582846203,450.7345150580338
12.799866588571076,424.49445146292646
12.84984562271223,447.168084115622
12.899824685269275,410.29097914895084
12.94980377624183,448.2734656643306
12.999782895629506,405.58727061508716
13.049762043431917,457.3494073908669
13.09974121964867,445.9384649078111
13.14972042427938,427.73645222470805
13.19969965732365,433.48156623506287
13.249678918781086,437.5174973319198
13.299658208651293,430.72795247327167
13.349637526933872,428.37089261476643
13.39961687362843,469.6242362545932
13.449596248734563,442.62889448697797
13.499575652251867,448.5104025720891
13.549555084179941,403.48561057530475
13.599534544518384,439.68965088498805
13.649514033266788,438.62279151718184
13.699493550424743,438.81350921960325
13.74947309599184,434.0991776623779
13.799452669967675,450.823187707812
