"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","grbl_driver","Open GRBL Motor Driver","Open Source (GRBL)","SERIAL","pyserial","?","25","T1_serial_probe_ready"
"community","gripper","Generic Robotic Gripper 澶圭埅","Open Source","SERIAL","pyserial","","20","T1b_serial_probe_tbd"
"community","gripper_controller","Robotiq 澶圭埅鎺у埗鍣?鏈烘鑷?鎺у埗鍣?","Robotiq Inc.","MODBUS","modbus","","7","T2m_modbus_probeable"
"community","gsioc","gsioc","","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","gsioc_interface","gsioc_interface","","SERIAL","pyserial","","6","T1b_serial_probe_tbd"
"community","gsv3_usb","Customized sensors - perfectly integrated into your component.","ME-Systeme GmbH","SERIAL","pyserial","","1","T1b_serial_probe_tbd"
"community","gs_usb_bus","GS USB BUS","Open Standard","UNKNOWN","","","2","T4_manual_review"
"community","hamamatsu_h11890_device","Hamamatsu H11890 Device","Hamamatsu Photonics","UNKNOWN","","","16","T4_manual_review"
"community","hamilton_heater_shaker_backend","Hamilton Heater Shaker Backend 鍚庣妯″潡 鎭掓俯鎽囧簥 鍚庣鎺у埗鍣?","Hamilton Company","UNKNOWN","","","13","T4_manual_review"
"community","hamilton_heater_shaker_box","渚挎惡寮忔鐗╄〃鍨嬪钩鍙癒eyBox","涓婃捣娉芥硥绉戞妧鑲′唤鏈夐檺鍏徃","UNKNOWN","","","13","T4_manual_review"
"community","hamilton_tcp_backend","Hamilton Tcp Backend 鍚庣妯″潡 绉绘恫宸ヤ綔绔?鍚庣鎺у埗鍣?","Hamilton Company","TCP","socket","","9","T3_network_needs_ext"
"community","hamilton_tilt_module_backend","type: string","Hamilton Company","SERIAL","pyserial","","23","T1b_serial_probe_tbd"
"community","handle","Generic Handle","Open Source","UNKNOWN","","","16","T4_manual_review"
"community","hardpotato__instrument","hardpotato__instrument","","UNKNOWN","","","8","T4_manual_review"
"community","hardpotato__serial","hardpotato__serial","","SERIAL","pyserial","","10","T1b_serial_probe_tbd"
"community","harvester","Harvester","Open Source (GenICam)","UNKNOWN","","","19","T4_manual_review"
"community","hdlc","Hdlc","Open Standard (HDLC)","UNKNOWN","","","8","T4_manual_review"
"community","hd_device","Zurich Zurich Instruments HD Device","Zurich Instruments","VISA_SCPI","lantz/VISA","*IDN?","49","T2_visa_needs_rs232_idn"
"community","heraeus_cytomat_backend","Thermo Heraeus Cytomat 鍩瑰吇绠?鍩瑰吇绠?鍩瑰吇绠?","Thermo Fisher Scientific","SERIAL","pyserial","","16","T1b_serial_probe_tbd"
"community","hp3325a","3325A Synthesizer/Function Generator [Obsolete]","Keysight","UNKNOWN","","*IDN?","4","T4_manual_review"
"community","hp3456a","HP 3456A 6陆-Digit Digital Multimeter","Keysight","UNKNOWN","","","4","T4_manual_review"
"community","hp3488_a","3488A Switch/Control Unit Operating, Programming, and Configuration Manual","Keysight","UNKNOWN","","","1","T4_manual_review"
"community","hp437_b","437B High Performance Single Channel Average Power Meter [Obsolete]","Keysight","UNKNOWN","","?","15","T4_manual_review"
"community","hp4395_a","HP 4395A Network/Spectrum/Impedance Analyzer","Keysight","VISA_SCPI","lantz/VISA","*IDN?","12","T2_visa_needs_rs232_idn"
"community","hp59501_b","59501B D/A CONVERTER [Obsolete]","Keysight","UNKNOWN","","*ID?","1","T4_manual_review"
"community","hp6624a","6624A DC Power Supply, Quad-Output, 2 Outputs at 7V/5A, 2 Outputs at 20V/2A,","Keysight","UNKNOWN","","","1","T4_manual_review"
"community","hp6632b","6632B 100 Watt System Power Supply, 20V, 5A [Obsolete]","Keysight","SERIAL","pyserial","SYST:ERR?","3","T1_serial_probe_ready"
"community","hp6652a","str","Keysight","UNKNOWN","","*IDN?","2","T4_manual_review"
"community","hp8116_a","HP 8116A 50 MHz Pulse/Function Generator","Keysight","UNKNOWN","","SOURce:FUNCtion:SHAPe?","1","T4_manual_review"
"community","hp85645_a","85645A 300 kHz to 26.5 GHz tracking source [Obsolete]","Keysight","UNKNOWN","","SOURce:FREQuency:MODE?","4","T4_manual_review"
"community","hp8657_a","'Technical Support: 8657A Synthesized Signal Generator, 100 kHz to 1040 MHz","Keysight","VISA_SCPI","lantz/VISA","","4","T2_visa_needs_rs232_idn"
"community","hp8714_es_wrapper","HP 8714ES RF缃戠粶鍒嗘瀽浠?","Keysight","UNKNOWN","","OUTP:STAT?","26","T4_manual_review"
"community","hp8901_b","HP 8901B 璋冨埗鍒嗘瀽浠?","Keysight","UNKNOWN","","ID","2","T4_manual_review"
"community","hp8903_b","Hp8903 B","Hewlett-Packard","UNKNOWN","","CST","0","T4_manual_review"
