"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","robo_hat_controller","Robotics Masters Robo Hat","Robotics Masters","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","robo_hat_driver","Robotics Masters Robo Hat","Robotics Masters","SERIAL","pyserial","","6","T1b_serial_probe_tbd"
"community","rohde_schwarz_nrvs","Rohde Schwarz Nrvs","Rohde & Schwarz","VISA_SCPI","scpi-framework","ZV","5","T2_visa_needs_rs232_idn"
"community","rohde_schwarz_shm52","Test and measurement","Rohde & Schwarz","VISA_SCPI","scpi-framework","RF?","3","T2_visa_needs_rs232_idn"
"community","rotary_encoder","Rotary Encoder","Open Source","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","routable","Routable","Open Source","SERIAL","pyserial","","8","T1b_serial_probe_tbd"
"community","rp_lidar","RP Lidar","SLAMTEC","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","rp_lidar2","RP Lidar2","SLAMTEC","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","rs_hmp4040","R&S®HMP4000 Power supply series","Rohde & Schwarz","UNKNOWN","","*IDN?","16","T4_manual_review"
"community","rs_instrument","Rohde & Schwarz 通用仪器接口","String","VISA_SCPI","lantz/VISA","*IDN?","104","T2_visa_needs_rs232_idn"
"community","rtde","Universal Real-Time Data Exchange Protocol","Universal Robots","SERIAL","pyserial","","13","T1b_serial_probe_tbd"
"community","rto1024_scope","R&amp;S®RTO2000 oscilloscope","Rohde & Schwarz","VISA_SCPI","scpi-framework","STOP;*OPC?","2","T2_visa_needs_rs232_idn"
"community","rto_scope","Rohde R&S RTO Series Real-Time Oscilloscope 示波器","Rohde & Schwarz","VISA_SCPI","lantz/VISA","*IDN?","49","T2_visa_needs_rs232_idn"
"community","rt__backend__active","Generic RT Measurement Backend (Active) 后端控制器","Open Source","VISA_SCPI","lantz/VISA","*IDN?","14","T2_visa_needs_rs232_idn"
"community","rt__backend__passive","Generic RT Measurement Backend (Passive) 后端控制器","Open Source","VISA_SCPI","lantz/VISA","*IDN?","10","T2_visa_needs_rs232_idn"
"community","rule","rule","","TCP","socket","","144","T3_network_needs_ext"
"community","rule_server","rule_server","","TCP","socket","","9","T3_network_needs_ext"
"community","r_py_lidar","Slamtec RPLiDAR Laser Range Scanner 扫描仪","Slamtec","SERIAL","pyserial","","24","T1b_serial_probe_tbd"
"community","safe_buffer_access","B.safe 高效液相色谱（HPLC）溶剂供应套装","上海骊葆科学仪器有限公司","UNKNOWN","","","46","T4_manual_review"
"community","sc10","str","Thorlabs","VISA_SCPI","scpi-framework","id?","4","T2_visa_needs_rs232_idn"
"community","scanner_interface","Scanner Interface","Open Source","SERIAL","pyserial","","2","T1b_serial_probe_tbd"
"community","scan_file","Sonoscan超声波扫描显微镜","聚擘国际贸易（上海）有限公司","TCP","network-framework","","14","T3_network_needs_ext"
"community","scene","Scene","Open Source","UNKNOWN","","","16","T4_manual_review"
"community","scientifica_control_thread","Scientifica Control Thread","Scientifica","UNKNOWN","","","11","T4_manual_review"
"community","scpi","Generic SCPI Instrument Interface 接口模块","Open Standard (SCPI)","TCP","socket","*IDN?","22","T3_network_needs_ext"
"community","scpi_device","scpi_device","","UNKNOWN","","*IDN?","85","T4_manual_review"
"community","scpi_device_searcher","scpi_device_searcher","","SERIAL","pyserial","*IDN?","8","T1_serial_probe_ready"
"community","scpi_functional","Physik Physik Instrumente Scpi Functional","Physik Instrumente (PI)","SERIAL","pyserial","","17","T1b_serial_probe_tbd"
"community","scpi_function_generator","Physik Instrumente Scpi Function Generator 仪器 分析仪器 函数信号发生器","Physik Instrumente (PI)","TCP","socket","VOLT:UNIT?","4","T3_network_needs_ext"
"community","scpi_multimeter","Physik Instrumente Scpi Multimeter 仪器 分析仪器 万用表","Physik Instrumente (PI)","TCP","socket","CONF?","11","T3_network_needs_ext"
"community","scpi__instrument","Scpi Instrument","Open Standard (SCPI)","VISA_SCPI","lantz/VISA","*IDN?","15","T2_visa_needs_rs232_idn"
"community","sdk_wrapper","sdk_wrapper","","SERIAL","pyserial","","241","T1b_serial_probe_tbd"
"community","sdm630","Sdm630","Eastron","MODBUS","modbus","","1","T2m_modbus_probeable"
"community","seeed_bus","Seeed Studio Seeed Bus","Seeed Studio","SERIAL","pyserial","","6","T1b_serial_probe_tbd"
"community","seekable","Seekable","Open Source","UNKNOWN","","","10","T4_manual_review"
"community","sensirion_ekh4","Sensirion","Sensirion AG","UNKNOWN","","","4","T4_manual_review"
"community","sensirion_sensor_bridge","Sensirion AG Sensirion Sensor Bridge","Sensirion AG","SERIAL","pyserial","","7","T1b_serial_probe_tbd"
"community","sensirion_sht85","SHT85 - ±1.5% Digital pin-type humidity and temperature sensor","Sensirion AG","UNKNOWN","","","14","T4_manual_review"
"community","sensor_polling_thread","Sensor Polling Thread","Open Source","UNKNOWN","","","6","T4_manual_review"
"community","seq_gen","FPGA Sequencer Generator","Open Source","UNKNOWN","","","14","T4_manual_review"
"community","serial","Serial","Open Standard","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","serial_bus","Open Standard Serial Bus","Open Standard","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","serial_client","Serial Client","Open Standard","SERIAL","pyserial","","1","T1b_serial_probe_tbd"
"community","serial_command_interface","serial_command_interface","","SERIAL","pyserial","","233","T1b_serial_probe_tbd"
"community","serial_connection","serial_connection","","SERIAL","pyserial","","117","T1b_serial_probe_tbd"
"community","serial_controller","Open Standard Serial","Open Standard","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","serial_data_interface","serial_data_interface","","SERIAL","pyserial","","2","T1b_serial_probe_tbd"
"community","serial_device","Serial Device","Open Standard","SERIAL","pyserial","","12","T1b_serial_probe_tbd"
"community","serial_driver","Generic Serial Driver 串口设备","Open Standard","VISA_SCPI","lantz/VISA","","5","T2_visa_needs_rs232_idn"
"community","serial_interface","serial_interface","","SERIAL","pyserial","","233","T1b_serial_probe_tbd"
"community","serial_line_reader","Serial Line Reader","Open Standard","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","serial_port","Serial Port","Open Standard","SERIAL","pyserial","","10","T1b_serial_probe_tbd"
"community","serial_to_i2_c","Open Standard Serial To I2 C","Open Standard","UNKNOWN","","","5","T4_manual_review"
"community","serial_visa_driver","Generic Serial Visa Driver 串口设备","National Instruments (VISA)","VISA_SCPI","lantz/VISA","","5","T2_visa_needs_rs232_idn"
"community","servo_blaster","Servo Blaster","Servo Blaster (Open Source)","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","servo_fiber_shaker","servo_fiber_shaker","","SERIAL","pyserial","","418","T1b_serial_probe_tbd"
"community","sftp_wrapper","Newport Corporation Sftp Wrapper 驱动封装 自动化设备 驱动封装","Newport Corporation (MKS)","TCP","network/rest","","7","T3_network_needs_ext"
"community","shared_serial","Shared Serial","Open Standard","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","shutter","Generic Optical Shutter Controller 控制器","Open Source","UNKNOWN","","","40","T4_manual_review"
