CCD积分时间:1.000000 
采样次数:0
内存单元 0:=1693.849487
内存单元 1:=1693.849487
内存单元 2:=1693.849487
内存单元 3:=1693.849487
内存单元 4:=1693.849487
内存单元 5:=1693.849487
内存单元 6:=1693.849487
内存单元 7:=1693.849487
内存单元 8:=1693.849487
内存单元 9:=1693.849487
内存单元 10:=1693.849487
内存单元 11:=1700.554199
内存单元 12:=1708.216675
内存单元 13:=1710.132324
内存单元 14:=1721.626099
内存单元 15:=1711.090088
内存单元 16:=1694.807251
内存单元 17:=1690.975952
内存单元 18:=1706.301025
内存单元 19:=1705.343262
内存单元 20:=1706.301025
内存单元 21:=1702.469727
内存单元 22:=1687.144775
内存单元 23:=1695.765015
内存单元 24:=1694.807251
内存单元 25:=1719.710449
内存单元 26:=1720.668335
内存单元 27:=1705.343262
内存单元 28:=1689.060425
内存单元 29:=1696.722900
内存单元 30:=1685.229126
内存单元 31:=1681.397827
内存单元 32:=1682.355713
内存单元 33:=1686.186890
内存单元 34:=1690.975952
内存单元 35:=1696.722900
内存单元 36:=1687.144775
内存单元 37:=1672.777588
内存单元 38:=1670.861938
内存单元 39:=1671.819702
内存单元 40:=1684.271240
内存单元 41:=1687.144775
内存单元 42:=1682.355713
内存单元 43:=1669.904053
内存单元 44:=1667.030640
内存单元 45:=1664.157227
内存单元 46:=1664.157227
内存单元 47:=1672.777588
内存单元 48:=1667.030640
内存单元 49:=1675.651001
内存单元 50:=1676.608765
内存单元 51:=1676.608765
内存单元 52:=1668.946289
内存单元 53:=1703.427612
内存单元 54:=1713.005737
内存单元 55:=1699.596313
内存单元 56:=1681.397827
内存单元 57:=1682.355713
内存单元 58:=1688.102539
内存单元 59:=1675.651001
内存单元 60:=1680.440063
内存单元 61:=1672.777588
内存单元 62:=1670.861938
内存单元 63:=1666.072876
内存单元 64:=1659.368164
内存单元 65:=1670.861938
内存单元 66:=1659.368164
内存单元 67:=1653.621338
内存单元 68:=1658.410400
内存单元 69:=1648.832275
内存单元 70:=1668.946289
内存单元 71:=1685.229126
内存单元 72:=1683.313477
内存单元 73:=1695.765015
内存单元 74:=1664.157227
内存单元 75:=1663.199341
内存单元 76:=1661.283813
内存单元 77:=1690.018188
内存单元 78:=1702.469727
内存单元 79:=1681.397827
内存单元 80:=1651.705688
内存单元 81:=1666.072876
内存单元 82:=1666.072876
内存单元 83:=1649.790039
内存单元 84:=1633.507202
内存单元 85:=1647.874390
内存单元 86:=1667.988525
内存单元 87:=1655.536865
内存单元 88:=1651.705688
内存单元 89:=1661.283813
内存单元 90:=1671.819702
内存单元 91:=1676.608765
内存单元 92:=1666.072876
内存单元 93:=1679.482178
内存单元 94:=1674.693115
内存单元 95:=1687.144775
内存单元 96:=1696.722900
内存单元 97:=1698.638550
内存单元 98:=1668.946289
内存单元 99:=1655.536865
内存单元 100:=1649.790039
内存单元 101:=1648.832275
内存单元 102:=1659.368164
内存单元 103:=1667.030640
内存单元 104:=1666.072876
内存单元 105:=1679.482178
内存单元 106:=1694.807251
内存单元 107:=1696.722900
内存单元 108:=1662.241577
内存单元 109:=1665.114990
内存单元 110:=1658.410400
内存单元 111:=1676.608765
内存单元 112:=1678.524414
内存单元 113:=1661.283813
内存单元 114:=1676.608765
内存单元 115:=1677.566650
内存单元 116:=1648.832275
内存单元 117:=1636.380737
内存单元 118:=1628.718140
内存单元 119:=1626.802612
内存单元 120:=1649.790039
内存单元 121:=1651.705688
内存单元 122:=1653.621338
内存单元 123:=1622.013550
内存单元 124:=1640.211914
内存单元 125:=1668.946289
内存单元 126:=1646.916626
内存单元 127:=1648.832275
内存单元 128:=1667.030640
内存单元 129:=1674.693115
内存单元 130:=1663.199341
内存单元 131:=1658.410400
内存单元 132:=1675.651001
内存单元 133:=1654.579102
内存单元 134:=1646.916626
内存单元 135:=1643.085327
内存单元 136:=1659.368164
内存单元 137:=1667.988525
内存单元 138:=1646.916626
内存单元 139:=1624.886963
内存单元 140:=1636.380737
内存单元 141:=1651.705688
内存单元 142:=1658.410400
内存单元 143:=1657.452515
内存单元 144:=1642.127563
内存单元 145:=1617.224487
内存单元 146:=1632.549438
内存单元 147:=1672.777588
内存单元 148:=1669.904053
内存单元 149:=1659.368164
内存单元 150:=1623.929199
内存单元 151:=1641.169678
内存单元 152:=1637.338501
内存单元 153:=1645.958740
内存单元 154:=1649.790039
内存单元 155:=1649.790039
内存单元 156:=1657.452515
内存单元 157:=1645.958740
内存单元 158:=1640.211914
内存单元 159:=1642.127563
内存单元 160:=1653.621338
内存单元 161:=1656.494751
内存单元 162:=1638.296265
内存单元 163:=1638.296265
内存单元 164:=1661.283813
内存单元 165:=1658.410400
内存单元 166:=1663.199341
内存单元 167:=1658.410400
内存单元 168:=1670.861938
内存单元 169:=1674.693115
内存单元 170:=1656.494751
内存单元 171:=1650.747803
内存单元 172:=1667.030640
内存单元 173:=1661.283813
内存单元 174:=1658.410400
内存单元 175:=1654.579102
内存单元 176:=1651.705688
内存单元 177:=1657.452515
内存单元 178:=1650.747803
内存单元 179:=1652.663452
内存单元 180:=1674.693115
内存单元 181:=1656.494751
内存单元 182:=1641.169678
内存单元 183:=1650.747803
内存单元 184:=1626.802612
内存单元 185:=1631.591675
内存单元 186:=1648.832275
内存单元 187:=1654.579102
内存单元 188:=1661.283813
内存单元 189:=1664.157227
内存单元 190:=1658.410400
内存单元 191:=1662.241577
内存单元 192:=1668.946289
内存单元 193:=1689.060425
内存单元 194:=1661.283813
内存单元 195:=1657.452515
内存单元 196:=1652.663452
内存单元 197:=1654.579102
内存单元 198:=1650.747803
内存单元 199:=1639.254150
内存单元 200:=1655.536865
内存单元 201:=1681.397827
内存单元 202:=1662.241577
内存单元 203:=1635.422852
内存单元 204:=1640.211914
内存单元 205:=1643.085327
内存单元 206:=1658.410400
内存单元 207:=1653.621338
内存单元 208:=1647.874390
内存单元 209:=1649.790039
内存单元 210:=1645.958740
内存单元 211:=1634.465088
内存单元 212:=1635.422852
内存单元 213:=1638.296265
内存单元 214:=1654.579102
内存单元 215:=1648.832275
内存单元 216:=1655.536865
内存单元 217:=1654.579102
